YEAR,DATE,DAY,DESCRIPTION
2023,26-Jan-23,Thursday,Republic Day
2023,07-Mar-23,Tuesday,Holi
2023,30-Mar-23,Thursday,Ram Navami
2023,04-Apr-23,Tuesday,Mahavir Jayanti
2023,07-Apr-23,Friday,Good Friday
2023,14-Apr-23,Friday,Dr. Baba Saheb Ambedkar Jayanti
2023,01-May-23,Monday,Maharashtra Day
2023,29-Jun-23,Thursday,Bakri Id
2023,15-Aug-23,Tuesday,Independence Day
2023,19-Sep-23,Tuesday,Ganesh Chaturthi
2023,02-Oct-23,Monday,Mahatma Gandhi Jayanti
2023,24-Oct-23,Tuesday,Dussehra
2023,14-Nov-23,Tuesday,Diwali-Balipratipada
2023,27-Nov-23,Monday,Gurunanak Jayanti
2023,25-Dec-23,Monday,Christmas
